1,Acacia subporosa,River wattle,0,0,
2,Acacia,Acacia,0,101,
3,Acer negundo,Box elder,0,0,
4,Acer nigrum,Green Column black maple,0,0,
5,Acer nigrum,Black maple,0,0,
6,Acer palmatum,Bloodgood Japanese maple,0,4,
7,Acer palmatum,Sango Kaku Japanese maple,0,1,
8,Acer paxii,Evergreen maple,0,0,
9,Acer platanoides,Schwedler Norway maple,0,0,
10,Acer platanoides,Norway maple,0,0,
11,Acer rubrum,Autumn Glory red maple,0,0,
12,Acer xfreemanii,Autumn blaze maple,0,0,
13,Acer xfreemanii,Freeman maple,0,0,
14,Acer,Maple,0,49,
15,Aesculus xcarnea,Ruby red horsechestnut,0,0,
16,Aesculus xcarnea,ONeill red horsechestnut,0,0,
17,Aesculus,Horsechestnut,0,3,
18,Araucaria araucana,Monkeypuzzle tree,0,1,
19,Araucaria bidwillii,Moreton Bay pine,1,0,winter
20,Arbutus Marina,Marina arbutus,1,29,"fall, winter"
21,Arctostaphylos manzanita,Dr Hurd manzanita,0,0,
22,Arctostaphylos manzanita,Manzanita,0,0,
23,Betula nigra,Heritage river birch,0,1,
24,Betula pendula,Cutleaf white birch,0,1,
25,Callistemon rugulosus,Violaceus bottlebrush,0,2,
26,Callistemon rugulosus,Scarlet bottlebrush,0,0,
27,Caryota maxima,Giant mountain fishtail palm,0,0,
28,Castanea sativa,Colossal sweet chestnut,1,0,fall
29,Castanea sativa,Sweet chestnut,1,0,fall
30,Ceanothus Ray,Ray Hartman California lilac,0,6,
31,Ceanothus,California lilac,0,3,
32,Cercis canadensis,Alba eastern redbud,0,2,
33,Cercis canadensis,Forest Pansy eastern redbud,0,0,
34,Cercis canadensis,Oklahoma eastern redbud,0,0,
35,Chorisia speciosa,Majestic floss silk tree,0,0,
36,Chorisia speciosa,Floss silk tree,0,6,
37,Cinnamomum glanduliferum,False camphor tree,0,0,
38,Citrus aurantifolia,Persian lime,1,1,"winter, spring, summer"
39,Citrus grande,Pummelo,1,0,"winter, spring, summer"
40,Citrus Improved,Improved Meyer lemon,1,82,winter
41,Citrus limon,Lemon,1,20,"spring, summer, fall, winter"
42,Citrus paradisi,Grapefruit,1,1,"winter, spring, summer"
43,Citrus sinensis,Orange,1,0,"winter, spring, summer, fall"
44,Citrus xlimon,Lisbon lemon,1,15,"spring, summer, fall, winter"
45,Citrus,Clementine,1,3,winter
46,Citrus,Oro Blanco grapefruit,1,3,"spring, fall, winter"
