wkt,address_street,lat_geocoded,lon_geocoded,scientific_name,common_name,fruit_period,tree_id
POINT (-122.400851254022456 37.720584513440478),3299 San Bruno Ave,,,Malus,Anna apple,"""summer",2005
POINT (-122.397032653362587 37.75743020014621),692-698 Connecticut Street,,,Malus,Anna apple,"""summer",2014
POINT (-122.407266222667317 37.745406251664825),301X Franconia St,,,Malus,Anna apple,"""summer",2019
POINT (-122.46022176069566 37.756088840356384),520 oak park drive,,,Malus,Anna apple,"""summer",2574
POINT (-122.413065150010581 37.77006488862623),555 12th street,,,Malus,Anna apple,"""summer",2582
POINT (-122.413077817747293 37.770035086229505),555 12th street,,,Malus,Anna apple,"""summer",2583
POINT (-122.388951732891343 37.76361767877254),2030 3rd st #2,,,Malus,Anna apple,"""summer",2592
POINT (-122.407008577848814 37.746712420486411),260 mullen st,,,Malus,Anna apple,"""summer",2600
POINT (-122.437697434091817 37.783042163427581),1430 scott,,,Malus,Anna apple,"""summer",2603
POINT (-122.380426684166835 37.73358408768545),266 harbor,,,Malus,Anna apple,"""summer",2605
POINT (-122.489879965583896 37.775192582467852),741 30th ave,,,Malus,Anna apple,"""summer",2649
POINT (-122.419856875921383 37.779042745764386),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2653
POINT (-122.419792063857045 37.778930798300848),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2654
POINT (-122.419719644230057 37.778767560805051),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2655
POINT (-122.419950314203632 37.779293311485389),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2656
POINT (-122.419987865129997 37.779390829345438),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2657
POINT (-122.419982500714525 37.779518026360982),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2658
POINT (-122.41994494978816 37.779640983267846),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2659
POINT (-122.419861801249354 37.779895376242621),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2660
POINT (-122.419521160767346 37.778737881219563),1 dr carlton b goodlet plaza,,,Malus,Anna apple,"""summer",2661
POINT (-122.408271814259606 37.725757782936491),449 holyoke st,,,Malus,Anna apple,"""summer",2670
POINT (-122.473243804891766 37.760370867717647),1484 16th Ave.,,,Malus,Apple,"""summer",326
POINT (-122.426614711639473 37.723417541328786),277 Athens Street,,,Malus,Apple,"""summer",390
POINT (-122.477087999999995 37.745108999999999),900 Santiago Street,,,Malus,Apple,"""summer",392
POINT (-122.415770635580586 37.755123999999654),824 Shotwell Street,,,Malus,Apple,"""summer",475
POINT (-122.415926203701446 37.755123999999654),824 Shotwell Street,,,Malus,Apple,"""summer",478
POINT (-122.475457279767056 37.76502412036394),1225 17th Avenue,,,Malus,Apple,"""summer",510
POINT (-122.444230207326925 37.764609823239454),89 Ashbury Terrace,,,Malus,Apple,"""summer",1597
POINT (-122.457451934006329 37.744153130488421),140 Idora Avenue,37.744295,-122.457417,Malus,Apple,"""summer",102219
POINT (-122.458134200000003 37.744254699999999),156 Idora Avenue,37.7442547,-122.4581342,Malus,Apple,"""summer",102222
POINT (-122.458826815635163 37.74438437027132),186 Idora Ave,37.74453,-122.458768,Malus,Apple,"""summer",102231
POINT (-122.440988399999995 37.7635006),100 STAIRWAY15,37.7635006,-122.4409884,Malus,Apple,"""summer",110764
POINT (-122.440988399999995 37.7635006),100 STAIRWAY15,37.7635006,-122.4409884,Malus,Apple,"""summer",110765
POINT (-122.441151599999998 37.763505700000003),100 STAIRWAY29,37.7635057,-122.4411516,Malus,Apple,"""summer",110860
POINT (-122.441244800000007 37.763508600000002),5-99 Vulcan Stairway,37.7635086,-122.4412448,Malus,Apple,"""summer",110930
POINT (-122.452272176742554 37.770880113979842),421-425 Shrader Street,37.7708528,-122.4521826,Malus,Apple,"""summer",146544
POINT (-122.451487035562863 37.763840285567312),204-228 Grattan Street,37.7638106,-122.4514924,Malus,Apple,"""summer",147102
POINT (-122.453426907303566 37.732967480325101),701 Mangels Ave,,,Malus,Apple,"""summer",163701
POINT (-122.382912899999994 37.730354464818539),1201-1299 Oakdale Avenue,37.7303535,-122.3828829,Malus,Apple,"""summer",171032
POINT (-122.439897805452347 37.750370733567337),30 Homestead Street,,,Malus,Apple,"""summer",182344
POINT (-122.443847358226776 37.768713241777512),777 Buena Vista Avenue West,,,Malus,Apple,"""summer",183151
POINT (-122.447991371154785 37.767347782846116),780 Clayton St,,,Persea americana,Avocado,"""spring",214
POINT (-122.415660000000003 37.745849),78 Montezuma Street,,,Persea americana,Avocado,"""spring",303
POINT (-122.406931906747104 37.718212052720766),495 harkness ave,,,Persea americana,Avocado,"""spring",363
POINT (-122.406948 37.718246),495 harkness ave,,,Persea americana,Avocado,"""spring",367
POINT (-122.447205866249192 37.771074131727779),459-461 Ashbury Street,,,Persea americana,Avocado,"""spring",1182
POINT (-122.451778218398616 37.765494484854429),159 Carl Street,,,Persea americana,Avocado,"""spring",1512
POINT (-122.445316782185813 37.766812596085011),1240 Delmar Street,,,Persea americana,Avocado,"""spring",1543
POINT (-122.448295563139951 37.763924595461958),461 Belvedere Street,,,Persea americana,Avocado,"""spring",1663
POINT (-122.406490195231456 37.720002173369387),501-599 San Francisco Bicycle Route 705,,,Persea americana,Avocado,"""spring",1815
POINT (-122.407081050242851 37.751459413153022),1285 Hampshire Street,,,Persea americana,Avocado,"""spring",1869
POINT (-122.434384439176327 37.729056579486198),1430 Alemany Blvd,37.729141,-122.43452,Persea americana,Avocado,"""spring",91984
POINT (-122.436030438062005 37.726965395298869),1550-1598 San Francisco Bicycle Route 45,37.727033,-122.436154,Persea americana,Avocado,"""spring",92006
POINT (-122.459374929323346 37.786253743170114),237 Arguello Boulevard,37.7862409,-122.459613,Persea americana,Avocado,"""spring",92513
POINT (-122.408057200000002 37.719852176170171),700 Mansell St,37.7198517,-122.4080372,Persea americana,Avocado,"""spring",93199
POINT (-122.423413289195167 37.775785177102478),375 Fell Street,37.775608,-122.423422,Persea americana,Avocado,"""spring",97941
POINT (-122.407620094124169 37.720011937461827),638 Mansell Street,37.720153,-122.407673,Persea americana,Avocado,"""spring",104363
POINT (-122.410565063768829 37.719244964808532),930 Mansell Street,37.719383,-122.410617,Persea americana,Avocado,"""spring",104379
POINT (-122.427791999999997 37.792443300000002),2201 Octavia Street,37.7924433,-122.427792,Persea americana,Avocado,"""spring",108197
POINT (-122.427791878342603 37.7924493),2201-2235 Octavia Street,37.7924433,-122.427792,Persea americana,Avocado,"""spring",108198
POINT (-122.427791513370394 37.792467300000006),2280 Octavia Street,37.7924433,-122.427792,Persea americana,Avocado,"""spring",108201
